env,algo,direction,final_error_m_mean,success_5mm_mean,hold_5mm_mean,ee_acc_rms_mean,ee_acc_p2p_mean,ee_jerk_rms_mean,action_delta_mean_mean,vibration_index_mean,neighborhood_error_std_m_mean
Panda,TD3_HER_CURRICULUM,Z,0.0001792533967890447,1.0,1.0,0.5663738012672808,2.782178620755387,11.050828532402594,0.03398852310037332,0.32645983527126166,0.0005709513980136811
Panda,TD3_HER_CURRICULUM,X,0.00013980462783398626,1.0,1.0,0.5357898068503305,2.709935608906336,10.227359589705907,0.03310642205129787,0.3088359092331189,0.00046293667575459947
Panda,TD3_HER_CURRICULUM,Y,0.00019701876175680125,1.0,1.0,0.5599679843780192,2.8236564198038496,10.890679913697351,0.03399092286695037,0.3228248394147755,0.0005752619542083884
Panda,TD3_HER_CURRICULUM,合成XYZ,0.00017518911379808027,1.0,1.0,0.5534728429022306,2.749830766146915,10.714354667016185,0.033845888064416796,0.3190942216904558,0.000555563404621776
Panda,TD3,Z,0.0016495228265232767,1.0,1.0,5.479666737993074,36.05159429100557,122.51016173621511,0.08402760902347954,3.158559239635378,0.00045963392690798806
Panda,TD3,X,0.0009712168361745547,1.0,1.0,5.4745270243920165,36.05159429100557,122.40039984583943,0.08542305107272936,3.1555858846080387,0.0007385266957366125
Panda,TD3,Y,0.0021914870398906244,1.0,1.0,5.477164172612837,36.05159429100557,122.45614491201717,0.0844949548069149,3.1571764909150004,0.0003617116207772098
Panda,TD3,合成XYZ,0.001377904932247231,1.0,1.0,5.47714199841725,36.05159429100557,122.45341712905812,0.08416844703207783,3.1571654393810538,0.0005671649383537892
IRB120,TD3_HER_CURRICULUM,Z,0.0003900861695229076,1.0,1.0,0.017618497700803745,0.08872781651244727,0.32592081533457207,0.005146341751033056,0.010169493543088543,4.702519746598755e-05
IRB120,TD3_HER_CURRICULUM,X,0.00038577801913780715,1.0,1.0,0.014900143079749966,0.08389565260585981,0.2675217676942591,0.005309575673915642,0.008600782220058799,4.847825967695591e-05
IRB120,TD3_HER_CURRICULUM,Y,0.0003558638498998889,1.0,1.0,0.013369426971174733,0.08172066440728318,0.23609429951469407,0.004971914127630422,0.007717433505986572,5.8459590164680306e-05
IRB120,TD3_HER_CURRICULUM,合成XYZ,0.0003766568689978543,1.0,1.0,0.01865823764650151,0.08777318543786021,0.3477134244208272,0.005373778568798487,0.010770221800701965,5.104953072109798e-05
IRB120,TD3,Z,0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
IRB120,TD3,X,0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
IRB120,TD3,Y,0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
IRB120,TD3,合成XYZ,0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
